,ID,min,max,med,mean
0,4_P1060348_3_fh_boosted_pred_grains,10.068138024231072,72.04796581377845,21.75503789802437,25.109454849155295
1,4_P1060348_3_fh_pred_grains,10.237986220498277,171.88622334974866,20.952520891962862,26.730964843107337
2,4_P1060348_3_mask_grains,10.022641037047023,171.62841966609335,19.306919564852404,25.09888683753248
3,1_P1060330_1_fh_boosted_pred_grains,10.583726121833598,138.18333028431604,20.89569045689057,32.79627994292219
4,1_P1060330_1_fh_pred_grains,10.302860955138812,149.86198681394887,22.633534116002437,31.781180382989525
5,1_P1060330_1_mask_grains,10.52669367910901,149.12039162975927,21.812710057299554,32.708523240592484
6,2_P1060338_0_fh_boosted_pred_grains,10.042980819886273,80.25708753039876,28.322573203263964,34.049617903941105
7,2_P1060338_0_fh_pred_grains,11.359857732846768,80.09573770443585,27.41742674080982,34.170185356199916
8,2_P1060338_0_mask_grains,10.054010280206736,80.59365019542635,29.82410612065385,33.672107556975796
9,3_P1060343_3_fh_boosted_pred_grains,10.289768170168944,70.4540167494382,23.673199098461236,27.74787969519781
10,3_P1060343_3_fh_pred_grains,10.62395442784049,70.16440226643114,22.89694704277612,27.42309735321474
11,3_P1060343_3_mask_grains,10.039920318408909,69.25838694878526,21.232533545029792,26.372156329565538
12,5_P1060351_2_fh_boosted_pred_grains,11.03392225531166,86.87443864295962,25.905330384285207,30.052887956261415
13,5_P1060351_2_fh_pred_grains,10.370528810455529,137.98289759641958,24.186879878742282,29.289228033850197
14,5_P1060351_2_mask_grains,10.053184891301449,137.79307963162302,20.694284254740573,26.8930001341364
15,6_P1060355_0_fh_boosted_pred_grains,10.395473216429348,135.07764667334445,22.82871449616512,32.71166494215703
16,6_P1060355_0_fh_pred_grains,10.46597801950804,135.5962628601933,20.683036027773788,31.73486650710599
17,6_P1060355_0_mask_grains,10.342334645377976,135.40259404030837,18.88431974667118,28.460925145259992
18,7_P1060359_3_fh_boosted_pred_grains,10.37907691197308,97.40478073586743,26.669672412349623,30.998181947771947
19,7_P1060359_3_fh_pred_grains,10.665271737985435,97.079434309348,26.00848612784391,30.711882774427576
20,7_P1060359_3_mask_grains,10.222599750486657,97.33689663604449,24.13790148549279,28.385981474594274
